Customer_ID,Age,Gender,Marital_Status,Income,Total_Transaction_Count,Total_Transaction_Amount,Average_Transaction_Amount,Transaction_Frequency,Online_Banking_Usage,ATM_Usage,Mobile_App_Usage,Num_Active_Banking_Products,Credit_Score,Outstanding_Debt,Num_Savings_Accounts,Investment_Portfolio_Details,Location,State,Zip_Code,Branch_Proximity,Preferred_Communication_Channel,Preferred_Banking_Channel,Frequency_of_Logins,Duration_of_Online_Sessions,Response_to_Marketing_Campaigns,Length_of_Customer_Relationship,Churn_Status,Overdraft_Incidents,Late_Payments,Feedback_Scores,Customer_Service_Interactions
28,61,Female,Divorced,38921,38,6080.893225679698,359.59410661268157,Weekly,0,1,0,3,796,2544.1072424549748,2,Medium,City_53,State_9,47624,1.851863593618341,Email,Mobile,4,106.56831253536569,Medium,52,1,0,1,2,1
29,42,Female,Married,80435,79,9364.574678700345,463.842005456335,Weekly,1,0,1,1,498,4609.479012883213,0,Low,City_16,State_7,99713,7.9209965061726235,Email,Mobile,7,9.57166092191467,Low,108,1,0,0,3,8
30,44,Male,Single,40310,37,2416.6523428876612,53.334417794396195,Monthly,0,1,0,1,717,4297.83794405557,0,Low,City_49,State_3,32623,1.7790330145897775,SMS,Mobile,17,82.01425720209402,High,101,1,0,1,3,3
31,59,Male,Married,93965,35,935.4406841603718,477.6409874918356,Monthly,1,0,1,4,351,4843.767212214016,1,High,City_88,State_9,10148,2.290771969130037,Email,In-person,17,40.107281998584476,Medium,33,0,0,0,3,1
32,45,Male,Single,99922,58,2666.2318043426662,461.44825387743856,Monthly,1,0,0,2,542,3252.3953263908543,0,High,City_5,State_3,25263,9.083940343254504,Email,In-person,1,82.58045204656572,Low,42,0,1,0,3,6
33,33,Male,Married,42242,48,287.3836410634882,36.45965316870908,Monthly,1,1,1,2,518,3379.07433208046,2,Low,City_77,State_3,34449,7.777671927415838,Phone,Mobile,2,110.059249831878,High,33,0,0,0,1,1
34,32,Male,Divorced,38947,38,455.338236770431,186.55735746886572,Monthly,1,1,1,1,817,3125.11499465746,0,Medium,City_94,State_7,99619,4.289574441087851,Phone,In-person,18,62.359613518794625,Medium,32,0,1,1,1,6
35,64,Male,Single,91816,75,9157.09227861552,408.4402612466749,Monthly,0,0,0,2,408,3114.0946142909866,2,High,City_60,State_2,60577,6.748519209905836,SMS,Mobile,9,52.65747554069507,Low,94,0,1,0,1,7
36,61,Female,Divorced,78785,66,3584.964166768595,309.67250728490654,Weekly,0,1,0,1,650,735.6017253379232,1,High,City_71,State_7,52314,5.1152249953962485,Email,Mobile,5,110.976096186553,High,35,1,1,1,5,8
37,20,Female,Divorced,30507,27,4167.009109995839,391.7560322570675,Monthly,1,0,0,1,365,2718.6947808196433,0,High,City_81,State_7,23538,1.5988398480668233,Email,Mobile,1,117.02321553993126,High,11,0,1,1,4,0
38,54,Female,Single,96972,50,281.8793799272337,362.32633600704486,Weekly,1,1,0,1,309,1930.3396672586287,0,Low,City_55,State_1,61787,7.490148547048261,Phone,In-person,7,12.157177696287313,High,99,1,1,0,3,1
39,24,Male,Single,57151,60,2778.165623701281,253.41735543231016,Monthly,0,0,1,2,501,2212.6860788864674,0,High,City_91,State_2,77899,7.869301513625381,SMS,Online,2,111.12752795204383,High,14,1,2,1,4,1
40,38,Female,Divorced,41618,11,8066.787239040167,30.196842516332772,Weekly,0,1,1,3,513,2618.002865296187,1,Low,City_35,State_5,75246,8.941072475368149,SMS,Mobile,3,14.518381355017217,High,11,1,1,0,3,6
41,26,Female,Divorced,46122,93,6193.36050070052,296.2914190116055,Weekly,0,0,1,2,367,641.980859011258,1,Low,City_69,State_4,37508,5.865736119501521,Email,Mobile,4,43.78791453911281,Medium,34,0,0,0,3,5
42,56,Female,Divorced,37354,65,7562.427950755512,33.79765999905503,Monthly,0,0,1,3,626,1797.4386692605992,0,Medium,City_42,State_3,78643,7.058241559013103,Phone,Online,3,92.69602407948757,High,92,0,1,1,3,8
43,35,Female,Divorced,60979,7,4527.4160338584725,305.82609159221414,Monthly,0,1,1,2,349,317.2478043830179,1,Medium,City_69,State_8,15628,4.942453765373811,Phone,In-person,19,94.35925292306496,Medium,75,0,0,1,1,2
44,21,Female,Single,82774,42,3166.319295338167,402.2013226219023,Monthly,0,0,1,4,316,4898.340652111995,2,Medium,City_24,State_7,76987,3.8701833319704377,Phone,Online,12,88.46951742810411,Medium,91,0,1,1,5,7
45,42,Male,Single,35037,88,4879.819923950866,296.6459568639401,Monthly,1,0,1,4,822,592.6401441006307,1,High,City_71,State_9,51409,4.705299956692984,Email,Mobile,15,9.497936127022863,Low,71,1,0,1,3,4
46,31,Male,Divorced,58633,38,3298.403577216937,498.5406842352316,Monthly,0,0,0,2,605,1292.6236927247726,0,Low,City_71,State_3,25180,9.205771209980389,Email,Online,4,20.29109552277073,Low,100,0,1,1,3,4
47,26,Female,Married,54495,48,8405.813857073274,233.3745850884122,Weekly,0,0,0,4,691,4456.464633516986,2,High,City_55,State_1,22377,2.477541565397698,Email,Mobile,1,112.66489729527107,Medium,58,1,2,0,3,9
48,43,Female,Married,94550,34,3046.9697843691724,376.92545716595384,Monthly,1,0,0,4,423,2413.5502311957093,0,Low,City_14,State_9,53548,3.2364983585849094,Phone,In-person,16,14.36805966552744,High,75,1,0,1,2,4
49,19,Female,Single,66483,21,6631.660040485529,336.93451295353464,Weekly,0,1,0,4,803,678.1860076031516,0,High,City_55,State_9,65003,6.455717122399589,SMS,In-person,6,14.032780451908414,High,111,1,0,1,3,7
50,37,Male,Divorced,64069,63,1456.1240008643256,495.8015288634631,Weekly,0,0,0,4,524,1921.1526901967445,0,Low,City_15,State_1,62100,2.046531894050676,Email,In-person,17,101.09928284215508,Medium,10,0,1,1,1,6
51,45,Male,Divorced,37370,14,6899.9782879756085,359.4773124877815,Weekly,0,0,0,3,617,579.3399709569292,1,Medium,City_5,State_8,30319,9.026780604871844,Email,Mobile,5,78.7455616206319,High,25,1,0,1,1,6
52,64,Female,Single,69133,88,9141.667144840334,90.37505841510081,Monthly,1,0,0,1,772,1001.0799854225089,0,Medium,City_4,State_1,40685,1.4251273467693633,SMS,In-person,13,45.44044642219565,Medium,17,0,1,0,4,3
53,24,Male,Married,30692,22,6124.973230935092,478.203676144448,Monthly,0,1,0,3,840,260.1492347492251,2,High,City_30,State_6,33214,7.797810639384156,SMS,Online,12,24.056706013237033,Low,107,0,2,1,1,5
54,61,Male,Married,58926,49,5642.568262341324,337.21084095842303,Monthly,1,1,1,1,657,2191.1374727454995,2,Low,City_84,State_9,62861,4.363552424343698,Phone,In-person,1,106.67959828767371,High,107,1,2,1,4,0
55,25,Female,Married,73390,95,9615.070853414238,39.07573309513104,Monthly,0,0,0,1,782,4033.180608626299,2,Medium,City_53,State_3,93209,1.4604901625031501,Email,Mobile,12,118.6818421272789,High,13,1,1,1,5,5
56,64,Male,Single,79593,63,6311.2258976268795,332.2084698344601,Monthly,1,0,0,2,728,2929.8458934994774,0,Low,City_90,State_6,59655,8.586351043468635,Phone,Online,2,10.746748770925354,High,63,0,1,1,2,4
57,52,Male,Married,35209,66,2669.5492894035174,442.7285092706398,Monthly,0,1,0,2,796,3031.7265274230585,2,High,City_73,State_3,67103,6.764142112124097,Email,Online,18,68.72303894037321,Low,54,0,2,0,1,0
58,31,Female,Single,36533,63,2994.67113609263,292.7505123751123,Weekly,0,1,1,2,771,1002.9201504162016,2,Medium,City_30,State_5,94067,1.0797283823332462,Phone,Online,9,35.04991226416873,High,69,1,0,1,3,0
59,34,Male,Single,37211,53,7082.53576110568,183.46962263568548,Monthly,0,0,0,2,599,1719.4692162618326,2,High,City_86,State_7,19657,3.407795635461519,Phone,Online,16,100.72448585821597,Medium,55,0,0,0,5,2
60,53,Male,Divorced,39927,67,7380.822279532645,412.24572069460186,Weekly,1,1,1,2,383,4226.21051920416,2,High,City_94,State_4,14520,4.168410469525217,SMS,Mobile,15,44.79840555410266,High,112,0,0,1,3,3
61,57,Female,Married,54594,91,3104.6126947112502,393.4308840208564,Weekly,0,0,1,3,676,439.2809216325727,1,Low,City_84,State_4,46484,3.9032033400934405,Email,In-person,10,87.18236825642909,Medium,102,0,2,0,4,0
62,21,Male,Single,37933,36,3518.905381470669,276.64925557333737,Monthly,0,0,0,3,612,4289.6532683426685,0,High,City_92,State_7,39577,5.485078261266778,SMS,Online,2,67.04519347552187,High,44,0,1,0,4,9
63,19,Male,Married,70696,14,9911.459436516961,85.63726724899117,Monthly,1,0,1,4,619,2418.450131323928,0,High,City_61,State_5,57599,5.741226620891611,SMS,In-person,4,67.27518888342158,Medium,45,1,2,0,2,6
64,23,Female,Married,95449,15,1109.3302408447466,132.98337790635887,Monthly,1,1,0,3,503,4185.737156625586,2,Low,City_71,State_1,40558,4.570786160138423,SMS,In-person,18,103.66993458574846,Low,36,0,0,1,5,1
65,59,Female,Divorced,97616,74,4105.985781556983,371.8571463711918,Monthly,1,0,0,3,654,1590.0320969720017,0,Low,City_68,State_2,11210,3.985933049000712,Email,In-person,19,59.09650898132489,High,8,1,1,1,4,3
66,21,Female,Married,36089,66,718.2305588553238,404.9802610435145,Monthly,0,0,0,2,593,1694.214757915104,2,High,City_92,State_6,73807,5.539683954610498,Phone,In-person,18,102.24394642661527,Low,88,0,1,0,3,8
67,46,Male,Divorced,86548,51,8228.675783782586,146.83998624008498,Monthly,1,1,1,4,803,3758.0243416157136,2,Medium,City_55,State_9,83594,1.3025386416579399,Phone,Mobile,14,46.79408522432117,Low,117,0,0,0,1,7
68,35,Female,Single,56123,38,1014.2238055597792,190.31268782152546,Weekly,0,0,0,3,444,3924.9808669611007,2,Medium,City_99,State_7,62972,6.806815840284532,Email,Online,8,25.10003838339508,High,77,0,1,0,1,1
69,43,Male,Married,37797,21,6772.672828980841,48.03962377239962,Weekly,1,0,0,3,838,1148.223389950734,0,Low,City_97,State_4,53304,6.453842652132801,Email,Online,5,57.379898430510735,High,35,0,0,0,5,8
70,61,Female,Single,80013,58,659.1858976344723,359.5963546995849,Weekly,1,0,0,4,316,4864.356624109528,1,High,City_71,State_2,86999,3.512978197526346,Phone,In-person,5,62.31091485835755,Medium,100,0,2,0,5,0
71,51,Male,Married,38346,80,6761.2648743159425,11.75299685401536,Weekly,0,1,1,1,338,422.4505212241447,0,Medium,City_73,State_4,12843,2.6156390230057345,Phone,Online,8,60.01406772834602,High,34,1,1,1,4,5
72,27,Female,Single,63672,89,8446.065774584262,32.80534539734336,Weekly,0,1,1,2,429,342.51481551065444,0,Low,City_98,State_5,89871,1.6568647536514132,SMS,In-person,11,97.95799736611745,High,75,0,0,1,1,2
73,53,Female,Married,47653,44,4048.333116548168,12.128593214204056,Weekly,0,0,1,3,414,2977.521076430514,1,Low,City_42,State_2,29834,6.286093761755003,Phone,Mobile,7,69.93807826791117,Medium,61,0,0,0,2,0
74,31,Female,Married,79556,23,5269.052284978551,326.2065958354322,Monthly,0,1,1,3,749,3613.7038388581072,0,Low,City_98,State_1,62670,6.120102453266818,SMS,Online,13,107.17106825226233,Medium,71,0,2,1,2,7
75,48,Female,Married,56140,71,4075.2632062522966,214.5196925732678,Monthly,1,0,0,4,344,4804.430646124869,1,High,City_77,State_4,82180,5.799862810994979,Phone,In-person,17,64.13133191533333,High,92,1,1,1,2,5
76,32,Male,Married,31184,86,3074.838710463125,155.7979130582318,Monthly,1,0,0,3,515,2024.7289039943078,2,Low,City_29,State_6,95780,9.870564413684358,Phone,Online,19,30.84223453143049,High,113,0,1,1,2,3
77,25,Female,Married,64493,57,8052.30766620857,457.2234950749841,Weekly,1,1,1,2,714,126.45704494816556,1,Medium,City_35,State_1,93064,5.78389699919368,Phone,In-person,3,19.892021630216554,High,68,1,1,1,4,2
78,31,Female,Married,74148,68,2792.825479936798,104.47336939153726,Weekly,0,1,0,3,564,3014.481697232035,2,High,City_45,State_1,62278,7.496116569727217,SMS,Online,2,104.8617244086314,Low,35,0,1,1,3,9
79,40,Male,Married,54846,87,7257.139901455525,200.79032508688627,Weekly,0,0,1,1,739,1448.4801029938594,1,Medium,City_74,State_9,50428,2.0162644465023876,SMS,Mobile,6,11.459871873754349,Low,58,1,2,0,2,1
80,57,Female,Married,52195,51,2141.3510846265026,470.75278245459833,Monthly,1,1,0,2,680,2164.7356059770113,2,Medium,City_94,State_5,75553,3.6907371026700706,Phone,Online,19,18.52510537077266,High,107,1,2,1,4,4
81,38,Male,Married,35606,10,2573.552581175463,219.2822157901508,Monthly,1,1,0,1,600,2442.347411249676,0,Medium,City_90,State_2,81535,3.4790195343517456,SMS,Mobile,15,12.320729675528723,Medium,51,1,1,1,2,7
82,33,Female,Single,33956,20,3430.965509514401,281.7999059670583,Monthly,0,1,1,4,470,322.5630536901691,1,High,City_99,State_2,93576,6.183779552722076,SMS,Mobile,4,53.72943267590933,High,108,1,0,1,2,7
83,62,Female,Divorced,46555,76,5932.648136198503,49.36506461904891,Weekly,1,0,1,2,705,2429.908922820514,0,Medium,City_92,State_4,87933,3.9773190552136652,SMS,In-person,19,66.25079588526324,High,14,0,1,1,3,2
84,35,Female,Married,48690,22,4598.780959679457,397.18152957779654,Weekly,1,0,0,3,654,2131.598334021574,2,Low,City_29,State_2,55386,6.76959784183045,SMS,In-person,7,7.285594067599084,Low,12,1,1,1,2,8
85,64,Male,Divorced,88502,56,7476.933617295422,217.15180077323672,Weekly,1,1,1,2,460,3562.721326432966,1,Low,City_70,State_4,44055,7.210807652815326,Email,Online,14,64.29240919253449,High,68,0,0,1,4,9
86,41,Female,Married,78849,52,2214.316273328304,402.2524110532569,Monthly,0,0,0,2,325,3228.329556061723,1,Medium,City_3,State_6,26651,1.3032085345966342,SMS,Mobile,7,50.282339198421994,High,52,1,1,1,4,4
87,43,Female,Married,56347,47,205.65564970345775,134.36084485243614,Weekly,1,0,0,2,382,926.0785907528052,1,Low,City_93,State_7,43202,6.7578194119550075,Phone,In-person,14,93.96919598242827,Low,49,1,0,1,1,6
88,42,Female,Single,79056,43,7787.918970673679,217.01458777509092,Monthly,0,1,0,1,472,1030.6945910519848,0,High,City_57,State_6,61187,2.051086260509572,SMS,Mobile,5,100.44501150081567,Low,54,1,2,1,5,8
89,62,Male,Single,93851,53,8234.328405412718,395.4089788188551,Monthly,1,0,0,4,369,1255.0308938718663,2,High,City_66,State_4,45265,5.186217716700106,Phone,Mobile,15,83.77125518441362,Medium,84,1,0,0,2,6
90,58,Male,Divorced,71850,16,688.8536147730565,487.20010585138346,Monthly,0,1,1,2,305,894.7522014858866,0,Low,City_22,State_3,49208,7.539189136920371,SMS,Mobile,12,59.45198656141175,Medium,84,1,2,0,2,9
91,46,Female,Single,57843,14,6147.984469368125,39.21650694976175,Monthly,1,0,0,3,494,3286.0659983423357,1,Low,City_27,State_4,48805,7.330104963506314,Phone,Online,17,29.857088429828636,Medium,90,0,1,1,4,2
92,32,Male,Single,92320,75,3844.2471603434715,408.1035269352631,Monthly,1,0,0,2,824,4972.1508960013525,2,High,City_22,State_5,50574,3.69840290497715,Email,Mobile,5,102.41820973979442,High,67,1,0,1,2,1
93,62,Female,Divorced,59793,59,7959.566986425716,157.337643137284,Monthly,1,1,0,2,362,3260.541702579683,2,Medium,City_74,State_4,62360,3.4512926541473608,Phone,Mobile,19,44.291951105107934,Medium,64,0,0,0,4,6
94,18,Female,Single,69516,5,8756.704086545138,279.86420763662534,Monthly,0,0,1,4,312,3033.407730956456,0,High,City_49,State_3,54938,4.962038570700599,SMS,Online,10,45.97356702741916,Low,83,1,1,1,1,9
95,42,Female,Married,47857,53,8524.937291292767,152.1452098258665,Weekly,1,1,0,3,504,2049.639666755362,0,Medium,City_83,State_1,99084,2.698003747160085,SMS,Online,12,110.34132792651015,Medium,80,1,2,0,2,7
96,24,Female,Divorced,49627,40,7794.322048773436,310.5882815583152,Monthly,1,0,1,3,339,1562.9012942988036,1,Low,City_24,State_3,58524,9.77229111437632,Phone,In-person,2,117.19368439376,High,80,1,0,0,1,3
97,26,Female,Divorced,91822,25,2763.617064547413,183.36338701554803,Weekly,0,0,1,1,464,4555.368784532396,1,Low,City_27,State_5,57515,4.104253641825801,Email,Mobile,17,108.28505998421798,High,89,1,0,0,1,0
98,41,Female,Married,82248,41,8137.7074713263355,173.47129657906393,Monthly,0,0,1,3,330,4845.009370710765,1,Medium,City_36,State_6,98383,9.306939466109593,SMS,Mobile,5,119.79699320952433,Medium,18,0,1,0,5,5
99,18,Female,Single,85798,28,5381.436911472298,28.589773338608406,Monthly,1,1,1,3,828,2483.880877938639,1,Medium,City_17,State_4,81231,9.174384666639657,SMS,Online,15,104.9245170486699,High,114,1,2,1,4,8
100,61,Male,Divorced,74116,59,622.2904868376991,82.01059889286766,Monthly,1,0,1,3,697,1451.0024775327872,2,High,City_56,State_1,89173,4.28364088806083,Phone,Online,13,86.00111452630941,High,35,0,1,0,1,3
101,25,Male,Divorced,58557,29,4623.694613992665,459.3683174440846,Weekly,1,0,1,2,758,3850.6110383488385,1,Medium,City_10,State_7,89414,3.286761690456152,Phone,In-person,11,38.78923095071938,High,109,0,0,1,4,2
102,41,Male,Married,72614,11,9427.363378596934,499.1559401478907,Monthly,1,1,1,1,522,662.2839543343922,1,Low,City_54,State_9,14886,7.937520710736369,Email,Online,18,114.59006062348577,Medium,108,0,1,1,5,5
103,28,Male,Married,42720,85,8889.807562381971,392.45508217610717,Monthly,1,1,0,3,377,3827.9411882184077,1,Low,City_81,State_6,13771,3.064400628072884,Phone,Online,9,105.81208563558167,High,89,0,1,1,4,5
104,34,Male,Single,87608,97,1112.4163818714487,150.53818613900853,Weekly,0,0,0,3,727,4094.7418715566937,0,Low,City_74,State_6,69070,5.691217509662287,SMS,Online,16,32.685881127800116,Medium,114,0,2,0,5,3
105,25,Male,Divorced,65892,98,7466.854188572265,207.19811783736034,Weekly,1,1,1,3,724,624.5197231358368,0,Medium,City_74,State_9,48672,1.9962043697790093,Phone,Online,15,61.253684422810096,Medium,48,0,2,0,2,6
106,52,Male,Single,30924,75,8077.349372986524,372.3566929039805,Weekly,0,1,1,2,686,4884.307343982819,0,Medium,City_38,State_4,56686,4.473389390944866,Email,In-person,4,13.056400971938265,High,56,1,1,0,5,1
107,52,Female,Single,81322,75,2786.7430635439714,484.57164287276703,Weekly,0,1,1,2,538,4927.5614519423925,1,Low,City_81,State_5,57193,1.7033943128960511,Email,Mobile,12,114.63051927572997,Medium,107,0,1,1,5,0
108,50,Female,Married,56478,28,4768.9248503368135,233.18087365739012,Monthly,1,1,0,1,389,4683.5973966367565,2,Medium,City_90,State_5,90630,3.550956334174517,SMS,Mobile,13,70.86835768796743,Medium,13,0,1,1,5,5
109,22,Female,Divorced,76418,15,7138.780620490461,416.4659834913036,Monthly,0,0,1,4,684,2480.1740470313216,1,High,City_90,State_5,95432,6.987643643714916,Phone,Mobile,9,33.198062781739026,High,42,0,0,0,3,2
110,59,Female,Divorced,92217,77,4446.510739329365,487.78377207337127,Weekly,1,1,0,1,438,1230.3707113841422,0,High,City_98,State_8,54765,9.921764408951624,SMS,Mobile,15,38.62592106674571,High,111,0,2,1,1,2
111,56,Male,Divorced,41781,16,1216.6894967791118,438.0018538174421,Monthly,0,0,0,2,823,2910.0464044095647,0,Medium,City_4,State_1,56346,3.2932683685592044,Email,Mobile,18,117.77548285243385,Medium,102,0,0,0,4,0
112,58,Male,Married,35515,39,7088.236202349043,121.30337591795019,Weekly,0,0,1,3,543,2099.6691923571784,1,Medium,City_50,State_3,34487,5.259891614944053,Email,Online,7,75.79564355748273,Low,95,0,2,0,4,1
113,45,Female,Married,66133,67,9125.223028379505,13.935613299055237,Weekly,1,0,0,3,804,1029.7432235859856,2,Low,City_91,State_8,87111,5.032415032022377,Phone,Mobile,12,53.37855927223643,Low,113,1,2,1,3,2
114,24,Female,Married,39095,72,6559.59881122096,251.1200356403234,Weekly,1,1,1,1,721,2118.3820480892377,2,Medium,City_61,State_9,93764,2.657382707868053,Phone,Online,10,62.48222810533689,Low,69,1,0,1,2,0
115,26,Male,Married,50470,96,7760.6274108334355,270.3668075306807,Monthly,0,1,1,3,481,3319.4491783879525,2,Low,City_21,State_2,13924,6.490621325777569,SMS,Mobile,7,16.33325832339449,Low,44,0,0,0,1,7
116,25,Female,Married,73129,61,3647.789103012502,108.61267863007312,Weekly,1,0,1,2,494,354.56655392995526,0,High,City_36,State_4,58469,7.522344521397746,Email,Mobile,14,13.62761740838074,Medium,13,0,1,0,1,5
117,29,Female,Divorced,38531,17,1913.6626267536851,149.49045205394066,Monthly,1,0,0,1,352,1667.0900072300826,0,Medium,City_46,State_8,55938,2.3249753509280646,SMS,Online,15,73.16139047954427,High,67,1,2,1,1,8
118,51,Female,Single,67038,27,6463.459250021096,384.925048815788,Monthly,0,1,1,4,478,88.97445006412596,2,High,City_95,State_5,31265,7.814121153227212,SMS,Mobile,4,63.88046419063639,Low,87,0,2,1,1,0
119,50,Female,Divorced,72674,87,3344.9349378280667,240.47015676943553,Monthly,0,1,0,2,592,3747.4775273083783,1,Medium,City_71,State_1,26918,7.301454722159421,SMS,Online,8,46.30261699989573,High,44,1,2,1,3,3
