Bank Name,State,Date,Asset Growth (%),Revenue (Million INR),Profitability (%),Interest Rate (%),Inflation Rate (%),GDP Growth (%),Stock Market Index,Loan Portfolio (Million INR),Cost of Funds (%),Regulatory Changes (Binary),Demographic Trends,Geopolitical Events (Binary)
State Bank of India,Karnataka,2022-01-11,5.845248468819287,3982.5119874043767,16.82375104531512,5.526474882144072,3.620453679400189,5.575954793352164,48016.62241631149,7679.996446487886,3.5190779080510897,1,Neutral,0
State Bank of India,Karnataka,2022-01-12,3.091280506394869,2256.7885789082507,15.315005804447335,6.703181953793164,4.513367825008066,4.1981659234664805,48840.19073964958,7449.825493248879,4.305780062100097,0,Negative,0
State Bank of India,Telangana,2022-01-13,4.074003699943179,2208.2192987683325,15.121019353864508,6.737943399985814,3.9365692097073883,6.917704706949211,53543.9951332568,7789.52397402499,5.314486334554157,1,Neutral,1
State Bank of India,Rajasthan,2022-01-14,7.380730459436071,3448.677634257482,12.85725576803647,6.468873386150735,4.282399584500068,5.080179705792178,52489.99017404957,6235.114498241873,4.980626061687903,1,Positive,1
State Bank of India,Bihar,2022-01-15,4.843769841577235,3156.773834012818,16.652076902418813,6.934235745730456,4.935655727533992,5.433602064739407,47723.153971810825,7980.445069230148,4.585682748668149,1,Negative,1
State Bank of India,Haryana,2022-01-16,6.0053464311261635,2548.3213331196116,13.628456282680286,5.689480177392856,5.235644228072504,5.065851922710768,46175.01840212374,6418.813427899867,4.559289054070267,1,Positive,0
State Bank of India,Telangana,2022-01-17,3.033919227209779,2158.8387379779733,14.980172536907679,6.657986803330244,3.6966740727040293,6.047535190348601,47519.982216440716,6023.559752573284,4.195540195208876,1,Negative,1
State Bank of India,Assam,2022-01-18,3.1537341128520247,2171.316499192861,13.705644557565101,6.116519765740692,4.21597608194086,5.986696474988779,54207.56451054734,7994.845878107109,4.541041067283029,0,Neutral,0
State Bank of India,Sikkim,2022-01-19,2.245211697598873,3788.3817493282368,12.802970177998159,6.985001778887567,3.8074847129748877,6.145966931587407,50815.888378497555,6562.147770890227,4.810766398926907,1,Positive,1
State Bank of India,Rajasthan,2022-01-20,3.013610378432987,2383.734649437486,15.77734618135042,5.423670630119449,3.5958948415856073,4.8044296888357625,50334.80208744783,7336.03890502512,4.336726076857586,1,Negative,1
State Bank of India,Arunachal Pradesh,2022-01-21,3.6715420341917517,2646.7431242310413,12.325992208937423,6.712632250518428,5.350161659987515,4.947005443492198,50963.935996924614,6353.36462835261,4.928306292784348,1,Neutral,0
State Bank of India,Telangana,2022-01-22,3.062062905660481,2453.3128044539762,16.491871404757198,5.555811066149971,5.727758083310977,4.375753693288624,48660.282657465155,7160.457064398283,5.222464454520772,1,Negative,0
State Bank of India,Kerala,2022-01-23,2.532215202542334,2709.9926116638744,13.9055207715667,5.8359291893451095,4.11069655705373,5.966529915538338,53071.07020319513,7808.069972909118,3.809369696369722,1,Positive,0
State Bank of India,Goa,2022-01-24,2.723815226603605,2138.847685492187,12.000808158026912,5.65612940097075,5.2538367731213,4.119391382006958,50232.862493002496,6640.362334856877,4.403094045634849,1,Positive,1
State Bank of India,Arunachal Pradesh,2022-01-25,4.764672608196355,3038.1195818165406,15.066774835423379,5.548513339606451,5.690985868093233,5.793047006570378,46167.47902768796,7340.507952088718,4.316040182570163,0,Positive,0
State Bank of India,West Bengal,2022-01-26,3.238002310434755,2135.2251271844298,12.281111451165618,7.477132854682001,5.538372631590695,6.6090876545549015,46290.65124829063,6375.807177596833,4.874929608099456,1,Positive,1
State Bank of India,Rajasthan,2022-01-27,4.185619166288452,3600.713015644723,13.657017346925397,5.857122702982671,3.5484401656176776,6.672496444868901,50368.591465026184,7249.59079743745,3.9997349305158587,0,Neutral,1
State Bank of India,Andhra Pradesh,2022-01-28,5.020503625129141,2467.424163820866,16.241858924734295,7.781371345593348,5.8688756445400845,5.347113281109885,54365.702180708395,6672.90070363502,4.780501829904552,0,Negative,1
State Bank of India,Kerala,2022-01-29,6.142368971776191,3080.023829209021,12.376137729731195,7.9097795760355725,4.130029321288387,5.377911064639221,48083.52121676199,6422.416517175903,5.254978483462976,1,Neutral,0
State Bank of India,Uttar Pradesh,2022-01-30,2.2358728390465936,3760.1581751229164,17.036030954136013,6.713781409811292,4.017721983521509,4.230907549024052,53695.41168859218,6626.36410140727,4.336263199587245,1,Positive,0
State Bank of India,Sikkim,2022-01-31,6.796462393454256,3301.7547380943884,12.022919535951498,5.429003367997179,3.1872939818333412,6.012295076329107,52640.95586578879,6357.6821370155985,5.3220313999584405,1,Negative,0
State Bank of India,Kerala,2022-02-01,5.767402336945446,3065.9155731026704,13.480943215211413,6.123644730138744,4.458520962314649,6.463778261118536,47478.12442906907,7803.832215675766,5.486327477866957,0,Positive,1
State Bank of India,Tripura,2022-02-02,2.4905541916932314,2648.6675062307513,16.445424336912428,7.393196790044642,3.3270408469227863,4.733965163814139,45363.407483162424,6794.373772634258,3.712184099895904,1,Neutral,1
State Bank of India,Mizoram,2022-02-03,7.241471744640664,2666.003826116396,13.897620898375841,6.102172186091211,3.745619462782278,5.263902644900094,46018.47265142383,6490.558609948735,3.9661063759697175,1,Neutral,0
State Bank of India,Uttarakhand,2022-02-04,7.525234403190879,3338.9739103963802,12.61135432839608,5.261051654908366,3.9508278653018443,6.516518010295811,52284.9393384744,6896.815682031865,5.400759502964187,1,Neutral,1
State Bank of India,Uttarakhand,2022-02-05,2.3664677591291827,3988.278722442335,14.161403512802568,6.670354732784563,5.426478970475053,6.6313614029868635,46996.69738040647,6641.072333612991,5.416655372962774,0,Negative,1
State Bank of India,Jharkhand,2022-02-06,3.6612658888832224,3323.6783796987575,13.622359718307154,7.535362554488104,5.62646595118769,4.7295399407926775,48712.709205053936,7488.838507626652,3.695414550773517,0,Negative,1
State Bank of India,West Bengal,2022-02-07,6.837207678758368,3115.5668347400497,17.05627141296333,7.387779161430507,3.9073989523844093,5.651711903624093,50016.99166006425,7942.439823770988,3.5299970007542734,1,Positive,0
State Bank of India,West Bengal,2022-02-08,6.48955814230195,3461.3010204784923,13.88008750551086,5.52536942039106,5.576094363733722,4.5774794519074815,52254.68168450163,6876.067313395293,3.8222000465128447,0,Negative,1
State Bank of India,Meghalaya,2022-02-09,3.107126116138264,2930.4112245674364,16.733594830656045,7.0182938432374,5.571692812109373,4.3056362924186695,46132.312232591255,7722.066799944481,5.492025566764497,1,Negative,1
State Bank of India,Manipur,2022-02-10,3.256095940020262,2120.2846852015705,17.351232868864408,5.661512790306942,5.2939528511546206,6.733361504175873,49063.66405277461,7131.726147119239,3.859999233221374,0,Neutral,0
State Bank of India,Manipur,2022-02-11,4.222832616748292,3124.59363175582,14.602904517459177,5.654622603656517,3.4400853420455446,6.461522512696328,49850.729091426954,6314.471330188467,4.505095213444046,1,Positive,0
State Bank of India,Odisha,2022-02-12,4.907137911146128,3915.2505690107605,17.45965886312635,7.622215319915556,5.070968540702187,6.280104705409522,50408.270639715396,7381.245484162683,5.196835452861022,0,Neutral,0
State Bank of India,Kerala,2022-02-13,5.709528629181776,2350.6058847153195,14.263908323779157,5.749006858220691,5.8350721937417065,4.146298956439422,53183.60641395217,7026.86899425164,3.5408032213764127,1,Positive,0
State Bank of India,Tamil Nadu,2022-02-14,4.213481837418635,3380.0097816413318,17.78447049894065,5.789742039554033,5.047621436301471,6.531186378130773,46716.78195043217,7301.213046504206,4.708977964516919,1,Positive,0
State Bank of India,Punjab,2022-02-15,4.775208296798887,2401.867377318113,12.535737147153437,5.001960172283899,3.9948505473235016,5.314132227716151,53078.31451826623,7779.37482514333,4.054050897739248,0,Negative,0
State Bank of India,Tripura,2022-02-16,6.48482562880254,3071.6553689461625,16.122115599019455,7.612007102376553,4.501737952292494,5.0271853698875795,51928.78427696652,6880.869141312092,5.224669832879464,0,Neutral,1
State Bank of India,Assam,2022-02-17,2.2200992173435874,2193.3528992934394,14.962884242741572,7.377784439627404,4.937175130053161,5.639429083076129,50558.70814198959,7802.355246434711,4.066922298528159,0,Negative,1
State Bank of India,Chhattisgarh,2022-02-18,3.5146216660641247,2900.74187251637,14.325892832733881,6.881986805272033,4.531711226185511,4.274059728170667,51995.27870402572,7501.33802856331,4.873511440563818,0,Negative,1
State Bank of India,Odisha,2022-02-19,6.280097515307315,3512.3266577904924,15.796271272491605,7.250797291816527,3.3598588251929096,6.269939648057196,49120.17738951657,6977.20985175597,4.848439264894794,0,Negative,1
State Bank of India,Gujarat,2022-02-20,7.3712410261231955,2695.143048477964,16.223142549805985,5.456145702273475,3.936192133956062,5.747305230664887,46383.975859681246,7206.444271315928,3.9429870977192802,1,Positive,0
State Bank of India,Rajasthan,2022-02-21,5.070064652693997,3329.8234489744364,12.026179617901855,6.374970783762726,5.407188091660897,4.559770290619502,51657.65240265367,6651.162265038023,3.5695983997367002,1,Neutral,1
State Bank of India,Himachal Pradesh,2022-02-22,5.192680911591894,3590.8999215794584,13.001718532483192,6.053658162046343,5.5842541382865525,4.564696599307137,50246.723066856226,7967.194599477549,4.318499147570795,0,Neutral,0
State Bank of India,Gujarat,2022-02-23,2.6430320680386563,3854.3556389589053,16.27827630380591,5.281329578771049,3.4119000981467105,4.552745954718023,51393.748005427755,7334.702326100792,4.078386303931739,1,Negative,0
State Bank of India,Nagaland,2022-02-24,4.684474200940728,2469.2841637109073,15.998312481469238,6.458391455644772,5.857160257196174,4.171007162655802,48379.9878102849,6087.693704993259,5.117955499227417,1,Positive,1
State Bank of India,Bihar,2022-02-25,5.195703598730139,2798.631831618616,17.79628503077206,7.762218951027906,3.986467853545828,5.763395348115054,54068.66577339836,6653.243811496018,5.10072837691069,0,Neutral,1
State Bank of India,Tripura,2022-02-26,3.454823021808378,2304.832026660835,16.5662267415047,5.120177357152084,4.98694121619216,6.521044532765524,50873.69868575577,7246.628867518115,4.414047904385251,1,Neutral,0
State Bank of India,West Bengal,2022-02-27,3.615459385696286,3984.9670043167507,17.704636246388027,5.874382740481382,5.255475437870043,4.0524946419621655,45854.02484290874,6112.66655559848,4.713024450646438,1,Negative,0
State Bank of India,Maharashtra,2022-02-28,4.263704978627736,3854.0019358485906,16.21524300920884,5.622622808617111,5.43583870391365,4.14701393491382,49498.03990704429,6047.768382638285,4.70851903197385,0,Positive,0
State Bank of India,Nagaland,2022-03-01,2.120427186666358,3079.914260561119,13.788313251836659,5.714439960997089,5.83724910667779,5.718310830060838,52563.56054743634,6900.048479055606,5.154316296855247,0,Negative,0
State Bank of India,Uttar Pradesh,2022-03-02,3.9324749934990697,3684.0665887528426,12.632189533505139,7.725303655638125,3.9387586440864677,6.458487056158157,52941.345617322724,6665.38035938534,4.350004828246395,1,Neutral,1
State Bank of India,Himachal Pradesh,2022-03-03,3.268688041979268,3041.9159545440843,16.690943180069613,6.40420716270287,5.575519363654664,4.980216671705901,49945.97052763759,6876.597216066331,4.050893359581018,0,Positive,0
State Bank of India,Uttar Pradesh,2022-03-04,3.964984113067488,3247.1713760055195,15.864895328855496,6.398898238819457,3.395060710308621,5.048843196423166,53947.47570831301,6525.38661976001,4.030069836281095,1,Negative,1
State Bank of India,Rajasthan,2022-03-05,2.7185727909155073,2178.248864232033,12.289116074359777,7.281726927365847,5.115122719060778,5.789039492490328,47676.684371942974,6329.4354938859615,4.5723845585644085,0,Neutral,0
State Bank of India,Arunachal Pradesh,2022-03-06,7.34316368443937,3510.540840993616,14.160302795405869,5.4634766120147775,5.2259331885419575,4.822638667372441,49105.98697238266,7378.286713960675,4.398296405464425,0,Negative,0
State Bank of India,Punjab,2022-03-07,5.561554721324292,2255.4269672704695,17.740798892905715,6.461796062300152,5.033169723603962,4.079825098233052,53985.9691056897,7029.142232535601,4.380241541969872,0,Negative,0
State Bank of India,West Bengal,2022-03-08,6.074613914866937,3652.135260505057,15.002406874261208,6.289955642363179,3.756944208405459,6.205685554304788,53962.56716471579,6400.308422498733,3.6822746781794145,0,Negative,1
State Bank of India,Manipur,2022-03-09,6.7350274316440295,3564.056175340772,14.596374816118228,6.790732071639969,5.61912944104561,5.87694973882436,51857.12768824681,6639.178852519996,4.9372074813803914,1,Positive,0
State Bank of India,West Bengal,2022-03-10,4.990653193574344,3417.4893954859526,14.746197630955763,7.998673109751316,3.506575390111185,5.7422679971669774,53589.8054712222,7183.6158153266515,3.9274733759638214,0,Neutral,1
State Bank of India,Gujarat,2022-03-11,2.521521728524542,2072.320761049524,13.253296344030982,7.308346682246141,3.1609043745624925,6.225052386975469,45887.73266956233,6144.458696544955,3.8939072604174427,0,Neutral,1
State Bank of India,Kerala,2022-03-12,5.2226392509112864,2606.2567118906572,14.212243025188771,6.1935971090522814,5.1523949718357365,6.0256925126861125,53649.94976207776,6294.906018532359,4.3255166405547865,1,Neutral,1
State Bank of India,Haryana,2022-03-13,5.521046708125275,2526.225139821686,14.21887953592306,7.482659156822141,4.4264271456982005,4.6176459645349635,48206.19906550227,6146.49120821478,3.955556683235603,1,Neutral,0
State Bank of India,Manipur,2022-03-14,6.4726368451059795,2720.272814943038,12.314130121124835,5.512125089937441,5.5472940598760285,5.0574431408300535,46783.31512428216,7624.634665428238,4.667716534616031,1,Positive,1
State Bank of India,Assam,2022-03-15,4.589957277378076,2175.2854935276773,16.60540577110751,5.09139105892688,4.1501914231747765,4.378330425035875,47393.698363420466,7504.818466424018,4.242926678668943,1,Negative,1
State Bank of India,Maharashtra,2022-03-16,2.7654818167733826,3873.9156460621252,14.499026591423274,5.613345117392819,3.5048357655231386,4.389571040253643,49179.68508013887,7506.625863758514,4.39782344518558,0,Neutral,0
State Bank of India,Mizoram,2022-03-17,3.702655434792347,3107.6044814247525,16.93307932089854,6.021234668342779,5.50932657740961,6.028587239069617,47511.920046044674,7432.650686952056,4.5743386432080575,1,Positive,0
State Bank of India,Bihar,2022-03-18,4.178493778391811,2611.048621316047,17.10208800671937,6.531742272378679,4.646728894920215,6.5758003209474944,48205.67586016499,7338.770847339738,3.90707104496361,0,Negative,1
State Bank of India,Nagaland,2022-03-19,5.875503447989607,2793.9630341485667,13.271964328191949,6.8453874216236,3.5675873771710647,6.888197751583418,46349.78486071642,6953.98383075635,3.8115032457310596,1,Positive,1
State Bank of India,Haryana,2022-03-20,5.424669828013471,2894.4050810096714,15.944120893020772,7.731817151643265,5.1611519957593375,5.885041352648333,47961.76765558998,7284.55632701423,5.26084380574721,0,Positive,0
State Bank of India,Bihar,2022-03-21,4.1365803553870775,3201.1886667212348,14.83369082497789,6.529562028651373,4.533340915468502,4.552303970082871,50722.83814542001,6076.723109575949,4.367447405662842,1,Neutral,1
State Bank of India,Arunachal Pradesh,2022-03-22,7.919091492757878,3031.358855392996,17.28094042752891,6.503826933877188,4.812938946720959,4.316951036346792,49418.53708091064,7242.928845313569,4.324187219265078,0,Neutral,1
State Bank of India,Goa,2022-03-23,5.634648916141323,3838.7839464288345,13.294444075058724,5.1507290294689465,4.382695014619745,6.438552914610273,48467.187612359114,7555.755411073755,3.571224300545683,0,Negative,1
State Bank of India,Sikkim,2022-03-24,3.423360750415967,2993.9269658116605,16.066879201860267,5.104734657968671,5.486126951454019,5.736269429079998,52464.52128857114,7000.716720768781,4.495952605174787,1,Negative,0
State Bank of India,Jharkhand,2022-03-25,2.6106948357224224,3984.3160296466253,15.646512733516335,6.653479885749116,5.4886881470491495,5.8548550630411595,53935.09971393318,6715.026656854474,4.608339443222,0,Neutral,1
State Bank of India,Bihar,2022-03-26,2.9171548351059924,3702.8499154901915,13.771808865430996,6.314535839745034,5.128166465473159,6.344386266264127,52567.89222902397,6554.853469601958,4.617681741909333,0,Positive,0
State Bank of India,Sikkim,2022-03-27,3.475746370307049,2417.0210287146715,12.819605421907035,7.517541184940896,3.316204132189387,6.1098316831973545,48320.00702117679,7285.604100324164,4.914062338645769,0,Neutral,0
State Bank of India,Nagaland,2022-03-28,2.9640882395573342,3861.1904292878326,15.909838562863658,5.4820387541355355,5.516561585712207,6.50337475856829,52444.42167837554,7385.602397259818,3.8549636699820233,0,Negative,0
State Bank of India,Uttar Pradesh,2022-03-29,3.1194021443078346,2232.732795770952,16.431584748793984,5.074914986351149,5.0130389415987295,4.168641716379636,46519.80182474051,7741.935199725085,4.004446268461238,1,Positive,1
State Bank of India,Kerala,2022-03-30,3.710571012163083,3634.899416982383,13.8937640625801,6.3471163037903775,5.091072498012899,6.242561910239514,46303.17988091291,6684.668164921982,5.121460930460826,0,Positive,0
State Bank of India,Arunachal Pradesh,2022-03-31,3.040241571768529,2761.24658695316,15.868995624133882,5.712435670256772,4.088948521211615,6.552558271966286,48456.27037036159,7539.544614771171,5.394341233686788,0,Positive,1
State Bank of India,Jharkhand,2022-04-01,7.3805925477585514,3755.9486408901394,14.37078544566902,5.148843120016513,5.63783866847102,4.858405127374943,53077.02369044057,7122.711648378676,3.7718654947346413,1,Neutral,0
State Bank of India,Bihar,2022-04-02,2.4814024739698533,3736.1133802149006,16.279241299695705,7.173794860542887,5.176114800704573,5.921341821979759,47463.48247242302,7765.672981356158,4.495299109010436,1,Neutral,1
State Bank of India,Maharashtra,2022-04-03,5.147068337421528,3611.8508002352423,13.195291649364318,5.334778999871743,3.3377713995875835,4.942486191510916,45632.534088986795,7055.624216591242,3.9283525054791735,1,Negative,1
State Bank of India,Meghalaya,2022-04-04,4.462380961937969,3580.0608726141227,17.341290015817044,6.824958500023315,4.2233341032184875,6.873913199447362,46317.09535206355,7035.2596567959345,3.620146336709965,0,Positive,1
State Bank of India,Manipur,2022-04-05,7.894271701451638,2609.3582781960813,13.724457578793478,5.843149250500668,5.6591410858804245,4.100270717306511,53587.449685295804,7155.754162881818,4.151006676252271,0,Positive,0
State Bank of India,Haryana,2022-04-06,2.672233413008314,2161.8385661025045,14.206715926536917,5.5204881510650665,3.141590105092137,5.739378531498865,51337.83284747288,7498.630710284869,3.7873752503684255,1,Neutral,1
State Bank of India,Maharashtra,2022-04-07,4.38713359427445,2805.9603575303227,12.348551712482099,6.139254568757952,5.8842498589261485,4.499510641148545,47532.01163369977,7929.380957656922,4.919866146868492,0,Negative,1
State Bank of India,Tamil Nadu,2022-04-08,7.816822599652213,2347.0490299730172,12.669073273927658,7.404337328668861,5.037487704958688,6.136660615531476,50552.95825328182,6147.126708431531,4.567450827342888,1,Negative,0
State Bank of India,West Bengal,2022-04-09,7.193042755363882,3389.9021778049237,15.095171416273969,6.176280730713718,4.89412793293013,4.527670850255986,50275.79622425351,6106.869204782034,3.7876689419806215,0,Positive,0
State Bank of India,Tripura,2022-04-10,6.90243242569568,2692.199453075571,13.605556060367828,7.252308947633168,3.8116777694639743,4.7061497856950725,51554.35978440661,7875.100674814677,3.5184831768110287,1,Neutral,1
State Bank of India,Haryana,2022-04-11,3.547416962269639,3951.22040171983,17.012881354453167,5.376458890397452,3.7463753662175314,5.483112433137274,47331.875544216164,7059.751251036412,5.116314098048425,0,Positive,0
State Bank of India,Rajasthan,2022-04-12,3.0253255243403947,3281.9441546906637,12.088160331929723,7.318314258995237,5.826174658465787,6.744504849990634,53644.029871943974,7229.8060291338725,3.852388812328495,1,Neutral,0
State Bank of India,Meghalaya,2022-04-13,6.011859319546586,3644.9611272687216,14.274564292031616,5.710799974719946,3.8948173627023683,4.6351431164439125,48093.685620800126,6964.847203189458,4.712433284441532,0,Negative,0
State Bank of India,Madhya Pradesh,2022-04-14,7.5762559347655145,2265.049345483697,14.024073280614555,7.032179389666618,5.326515890156998,4.432720063354311,51941.31653976237,6187.314905214949,4.173843826153491,1,Positive,1
State Bank of India,Nagaland,2022-04-15,5.3405773580835785,3724.028964545245,12.115965785505606,6.697344664522989,4.179365394621238,6.276930495562092,45161.24646372215,7536.178756837333,4.670971876630071,0,Positive,0
State Bank of India,Manipur,2022-04-16,5.429676136819399,3845.5143810267887,12.74621039400306,7.787434151635062,3.417762212354112,5.501858597001792,48726.571298941475,7494.449290177174,4.131307253964648,0,Positive,1
State Bank of India,Rajasthan,2022-04-17,3.679874561961705,2974.123837637872,14.481856049511812,6.161967553925942,3.032145893086077,6.7353553371453145,48517.09817958808,6623.406642985624,3.673879121384508,0,Negative,0
State Bank of India,Telangana,2022-04-18,6.616957599151622,3212.505875501955,14.95718750668468,5.198495566503321,4.632772011045752,4.439843671479527,50434.84428583014,6612.4784904568005,3.945900017115507,1,Positive,0
State Bank of India,Uttar Pradesh,2022-04-19,3.1222624913451402,3529.619601805991,14.425738483529216,5.057466456653759,5.927336455646798,5.937783679069118,45727.36261777196,7675.6827618110365,3.876117132958151,0,Negative,1
State Bank of India,Tripura,2022-04-20,3.9420754184254623,2349.677254520825,15.185626070472562,7.480575682918259,4.107408581427613,4.698637438455445,52901.31373726108,6144.714515482653,4.356038704879287,0,Neutral,0
State Bank of India,West Bengal,2022-04-21,4.5526186316985005,3005.132152926885,15.57079004943409,6.574206912984296,4.071577001979135,4.470281285954918,47177.808017675685,7762.210296713131,4.8165675668523145,0,Negative,0
State Bank of India,West Bengal,2022-04-22,5.04566227210673,2797.3260555446263,12.059542926767014,7.325732155504848,4.032274853548326,6.050288245471812,51770.378148820106,6513.323379791829,4.027612149892715,1,Neutral,0
State Bank of India,West Bengal,2022-04-23,3.4544583944904814,2292.7479843244982,14.784570956721023,5.703276800034544,4.561631511914575,5.7810538597262,53032.12123244093,7185.969495510988,3.524139870601236,0,Negative,0
State Bank of India,Madhya Pradesh,2022-04-24,2.689020948435221,2735.068844583063,17.78099544532553,6.035251236539701,4.321994650272881,6.264482375086994,50618.76956241513,7871.988358003556,4.537874728529514,1,Negative,1
State Bank of India,Himachal Pradesh,2022-04-25,5.663720254649796,2136.344618770987,15.114193680777293,5.090311616633957,5.639743880181044,4.928387729338547,52408.83206721985,7356.2450030732925,4.711518978717944,0,Positive,1
State Bank of India,Manipur,2022-04-26,3.7317833194415346,2051.623813898974,16.06525360475372,7.884476973722336,4.516562375170471,5.34391496914657,51618.60312215005,6828.8596249340735,5.42574098800362,1,Negative,1
State Bank of India,Madhya Pradesh,2022-04-27,5.487429328535674,2270.3325783096457,13.871183147501299,7.00360372010244,4.523273514565706,5.216415028991255,48555.29797152008,7379.06841781083,4.678941606186494,1,Positive,1
State Bank of India,Andhra Pradesh,2022-04-28,2.9261762916452136,3926.230223178348,16.643948268916574,7.799615263277919,3.41511478416167,6.952268391899542,53088.585390335655,6687.95927263274,4.4423451187562835,0,Neutral,1
State Bank of India,Tripura,2022-04-29,4.886840611128905,3099.059071790034,16.63752889125669,5.796489222287217,5.948218622731158,4.876746870218164,47947.01369885528,6554.516832698372,4.646803251795408,1,Neutral,1
State Bank of India,Gujarat,2022-04-30,5.195536595309515,3931.64432230644,15.127776285924835,6.8343908336769825,3.749918672606489,4.884451715040301,50712.12917751517,7993.366555869359,5.355801259724054,1,Positive,1
State Bank of India,Himachal Pradesh,2022-05-01,2.3109412209345614,2864.995756660264,17.856082939675282,7.035499904877914,3.220092202378808,5.063644626485822,52453.97739141539,7501.580462359576,5.156756291203292,0,Neutral,0
State Bank of India,Telangana,2022-05-02,4.019625669163523,2623.632266170519,12.753301288575921,5.952649100772765,4.989438746925627,5.693782243870965,48789.55909812508,7289.439954763635,4.145957466727616,1,Negative,1
State Bank of India,Andhra Pradesh,2022-05-03,2.8064880616338455,3012.2837256804883,12.101685989337486,7.54432770504689,4.786099110470618,4.756968232791236,48027.67607617425,6710.579286438638,3.9745087273142747,1,Positive,1
State Bank of India,Kerala,2022-05-04,2.3802498228366065,2879.0233772658203,16.620949270542575,7.841484388700744,4.245436961978237,6.745869821137822,49593.460101728226,6098.321658310097,4.025267224732147,1,Positive,1
State Bank of India,Haryana,2022-05-05,7.939761394339671,2211.329368523488,16.842933224189295,7.654565353088013,4.266576701642034,4.7970566945987905,53179.63494349154,6062.113752070311,4.508842079430426,1,Positive,0
State Bank of India,Telangana,2022-05-06,3.934123069848338,3281.6526293804127,12.721243374723457,7.2172009278181175,5.355191763139294,6.687447194680584,54299.217631456646,7108.3625108975975,4.988098902457155,0,Neutral,1
State Bank of India,Karnataka,2022-05-07,6.859246675127809,2432.0763650191993,13.593496997751636,5.832394039174862,3.587137920298947,4.310425190939754,50450.8341285989,7524.065442078102,4.506438414365924,1,Neutral,1
State Bank of India,Odisha,2022-05-08,3.527843928582583,3239.175909795659,12.105314180199773,5.844848126316895,5.46075995683467,5.969688107198957,51614.66205323652,7074.75838088771,3.635592791656225,1,Negative,1
State Bank of India,Mizoram,2022-05-09,6.089016333343576,3300.4021847963068,13.759851664683389,7.890080961338114,4.946241341685054,6.720956555314731,54032.73622238914,7681.570143878229,4.947161400879962,0,Negative,0
State Bank of India,Haryana,2022-05-10,6.561367159338119,2304.0497062572963,16.63885124351203,5.030853487807076,4.256909321338573,4.506248315194688,45985.468514129425,6066.853066186443,5.1119402573419075,0,Positive,1
State Bank of India,Assam,2022-05-11,5.573832443647065,2122.699254221336,15.107763166275474,7.148149919726434,4.374085849751606,6.9049808802977655,47320.78577866165,6733.5041528518805,4.0789957302394395,1,Negative,0
State Bank of India,Assam,2022-05-12,4.82945713130095,3561.5231721368796,14.088573559009728,7.118738487665786,3.7699416215582873,5.358650081246536,52089.00006251583,6474.140782348356,4.828251478566701,0,Neutral,0
State Bank of India,Andhra Pradesh,2022-05-13,4.471045484883611,2919.60084753864,14.230435769437982,6.868068622849393,5.256342998090925,6.837145325323073,53237.444619122994,6894.545936314244,4.353183802108787,0,Negative,0
